Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Targeting of French IT monitoring company,2/15/2021,Sandworm,Russian APT Sandworm used two different malware strains to hack the IT monitoring software of French cybersecurity firm Centreon. The hacking campaign lasted from 2017 to 2020 and only affected entities using the open-source version of Centreon?? software.,,"Fifteen entities, including France?? Ministry of Justice, that used Centreon?? outdated, open-source services",Russian Federation,Espionage,Private sector,https://www.cert.ssi.gouv.fr/uploads/CERTFR-2021-CTI-005.pdf,https://www.centreon.com/en/blog/centreon-provides-clarification-following-the-publication-of-the-anssi-report/,
Targeting of Southeast Asian ministry of foreign affairs,6/3/2021,Sharp Panda,A South Asian government was targeted as part of a long-running cyber espionage campaign carried out by a Chinese threat actor. The campaign used spear phishing to drop malware onto the government's systems.,,A South Asian foreign ministry,China,Espionage,Government,https://research.checkpoint.com/2021/chinese-apt-group-targets-southeast-asian-government-with-previously-unknown-backdoor/,,
Watering-hole attack on popular North Korean news site,8/18/2021,"APT 37, ScarCruft, Stardust Chollima",North Korea launched watering-hole attacks from popular anti-North Korea website the Daily NK.,,Visitors to the Daily NK website,Korea (Democratic People's Republic of),Espionage,Civil society,https://securelist.com/scarcruft-surveilling-north-korean-defectors-and-human-rights-activists/105074/,https://thehackernews.com/2021/11/new-chinotto-spyware-targets-north.html,
Targeting of U.S. newspaper chain,11/18/2021,Emennet Pasargad?,Iranian hackers are accused of compromising a major U.S. newspaper before the 2020 election.?,Sanctions   https://home.treasury.gov/news/press-releases/jy0494,A U.S. newspaper owned by Lee Enterprises.,Iran (Islamic Republic of),Espionage,Civil society,https://home.treasury.gov/news/press-releases/jy0494,,
Targeting of Indian vaccine makers,3/1/2021,APT 10,APT 10 targeted Indian vaccine makers Bharat Biotech and the Serum Institute of India for espionage purposes.?,,Indian vaccine makers Bharat Biotech and the Serum Institute of India,China,Espionage,Private sector,https://www.reuters.com/article/health-coronavirus-india-china/update-1-chinese-hackers-target-indian-vaccine-makers-sii-bharat-biotech-says-security-firm-idUSL2N2KZ13L,,
UNC1151,4/28/2021,"Belarus, Ghostwriter.","UNC1151 has been identified as the group orchestrating a long-running espionage campaign, known as Ghostwriter, across various east European countries focused on compromising governments??communications systems and gathering data that can be used in ongoing information warfare campaigns.",,The communications systems of east European governments,Belarus,Espionage,Government,https://www.mandiant.com/resources/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity,,
MalKamak,10/6/2021,,MalKamak was first discovered conducting a long-term espionage campaign against aerospace and telecommunication companies using Dropbox servers to stealthily exfiltrate data.?,,"Aerospace and telecommunication companies across the United States, Russia, the Middle East, and Europe",Iran (Islamic Republic of),Espionage,Private sector,https://www.cybereason.com/blog/operation-ghostshell-novel-rat-targets-global-aerospace-and-telecoms-firms,,
Targeting of international gambling firms,1/6/2021,Emissary Panda,"Chinese threat actor Emissary Panda locked the servers of five gambling firms marketing to Chinese nationals, requesting $100 million in ransom payment. The victim companies reported that no payment was made.",,Online gambling firms,China,Espionage,Private sector,https://shared-public-reports.s3-eu-west-1.amazonaws.com/APT27+turns+to+ransomware.pdf,https://www.gamblingnews.com/news/chinese-state-backed-hackers-target-gambling-companies-in-100m-ransomware-attack/,https://calvinayre.com/2021/01/06/business/china-state-sponsored-hackers-online-gambling-ransomware/
Targeting of U.S. oil and gas companies,7/20/2021,Comment Crew,"The U.S. Cybersecurity and Infrastructure Security Agency released the indicators of compromise for a series of attacks on U.S. oil and gas companies, which lasted from 2011 to 2013. The agency confirmed that at least twenty companies had been compromised and that the depth of the intrusions was not entirely clear.",,U.S. oil and gas companies,China,Espionage,Private sector,https://www.cisa.gov/uscert/ncas/alerts/aa21-201a,https://abcnews.go.com/Blotter/mandiant-report-fingers-chinese-military-us-hack-attacks/story?id=18537307,
Targeting of telecommunication companies in Asia and the Middle East,12/14/2021,MuddyWater,"Iran launched an espionage campaign directed against telecommunication companies throughout Asia and the Middle East. The attacks could have been aimed at inserting malware into the supply chain, although the exact purpose is unclear.?",,Telecommunication companies in Asia and the Middle East,Iran (Islamic Republic of),Espionage,,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/espionage-campaign-telecoms-asia-middle-east,https://threatpost.com/seedworm-attackers-telcos-asia-middle-east/176992/?web_view=true,
Targeting of cryptocurrency exchanges and financial service companies,2/17/2021,Lazarus Group,North Korean APT Lazarus Group disseminated cryptocurrency trading applications outfitted with the AppleJeus malware. AppleJeus was used to steal cryptocurrency from unsuspecting victims in over thirty countries in 2020.,,"Cryptocurrency trading firms, various individuals, and financial services institutions",Korea (Democratic People's Republic of),Financial Theft,"Private sector, Civil society",https://www.cisa.gov/uscert/ncas/alerts/aa21-048a,,
Targeting of cloud computing servers in brute force attacks,6/6/2021,"Fancy Bear, APT 28",Russian hackers targeted various enterprise and cloud computing companies across the world with brute force attacks in attempts to gain access.,"Confirmation   https://www.nsa.gov/Press-Room/Press-Releases-Statements/Press-Release-View/Article/2677750/nsa-partners-release-cybersecurity-advisory-on-brute-force-global-cyber-campaign/#:~:text=The%20National%20Security%20Agency%20(NSA,intelligence%20against%20U.S.%??,Cloud and enterprise computing companies and government agencies that use their services""",Russian Federation,Espionage,Private sector,https://media.defense.gov/2021/Jul/01/2002753896/-1/-1/1/CSA_GRU_GLOBAL_BRUTE_FORCE_CAMPAIGN_UOO158036-21.PDF,https://www.aha.org/fbi-tlp-alert/2021-07-06-tlp-white-joint-cybersecurity-advisory-russian-gru-kubernetes-brute-force,,
Targeting of Israeli software supply chain,8/18/2021,"Siamesekitten, Lyceum","An Iranian threat actor is believed to be responsible for using fake job offers to gain access to the email systems of major Israeli software companies. After gaining access to a system, the threat actor would install a backdoor to gain further information from the company's system or to launch phishing attacks.",,Israeli software companies,Iran (Islamic Republic of),Espionage,Private sector,https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,,
Targeting of the Parliament of Western Australia,3/4/2021,Chinese government,Chinese hackers exploited a Microsoft vulnerability to target the Parliament of Western Australia?? email server.,,Western Australia?? parliamentary email network,China,Espionage,Government,https://www.abc.net.au/news/2021-03-17/wa-parliament-targeted-cyber-attack/13253926,,
Targeting of Philippine dissident websites,7/1/2021,Philippine Army,"Units in the Philippine Army are believed to be behind a series of DDoS attacks launched against two opposition websites, Bulatlat and Altermidya. The attacks brought the websites down for a few hours but did not cause any lasting damage.",Denial   https://therecord.media/investigation-links-ddos-attack-on-filipino-media-outlets-to-government-agencies/?web_view=true,"Two Philippine opposition news outlets, Bulatlat and Altermidya",The Philippines,Denial of service,Civil society,https://www.qurium.org/press-releases/investigation-of-ddos-attacks-against-independent-media-shows-links-to-philippine-government-and-army/,https://therecord.media/investigation-links-ddos-attack-on-filipino-media-outlets-to-government-agencies/?web_view=true,
IronHusky,10/12/2021,MysterySnail,IronHusky was detected using a Windows zero-day to launch a remote access Trojan dubbed MysterySnail.? Command and control infrastructure IronHusky use has been active since at least 2012.,,"IT companies, diplomatic missions, and defense contractors in the United States.",China,Espionage,Private sector,https://securelist.com/mysterysnail-attacks-with-windows-zero-day/104509/,https://www.csoonline.com/article/3637068/chinese-apt-group-ironhusky-exploits-zero-day-windows-server-privilege-escalation.html,
Targeting of SolarWinds,2/2/2021,Believed to be the work of the Chinese government,"Suspected Chinese hackers breached SolarWinds software, potentially accessing payroll information for hundreds of thousands of federal employees. Details about specific actors and the scale of the breach remain unknown.",,U.S. Department of Agriculture?? National Finance Center,China,Espionage,Government,https://www.wired.com/story/solarwinds-hack-china-usda/,https://www.reuters.com/article/us-cyber-solarwinds-china/exclusive-suspected-chinese-hackers-used-solarwinds-bug-to-spy-on-u-s-payroll-agency-sources-idUSKBN2A22K8,https://www.mandiant.com/resources/unc2452-merged-into-apt29
Targeting of Ukrainian elected officials by Russian-sponsored hackers,4/19/2021,"Primitive Bear, Gamaredon","From January 2021 to at least March 2021, Gamaredon, a group associated with Russian intelligence agencies, sent malicious documents to several high-ranking Ukranian officials. The objectives of this spear-phishing campaign are still unclear.",,Ukrainian officials,Russian Federation,Espionage,Government,https://www.anomali.com/blog/primitive-bear-gamaredon-targets-ukraine-with-timely-themes,,
